Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Κωστάκης Τυρί Γραβιέρα Με Μπούκοβο,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/tyri-graviera-me-bouk-kostak-tk/,
Στειακάκης Τυρί Γραβιέρα Με Θυμάρι 350 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/steiakakis-tyri-graviera-me-thymari-350-gr/,
Στειακάκης Τυρί Γραβιέρα Με θυμάρι,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/steiakakis-tyri-graviera-me-thymari/,
Στειακάκης Τυρί Γραβιέρα Συσκευασμένη 350 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/steiakakis-tyri-graviera-350-gr/,
Amari Τυρί Γραβιέρα Κατσικίσια 150 gr,Milk and dairy products,Cheese,"Cheese, Capra","Cheese, from goat's milk",B,https://kritis.gr/product/tyri-gravierino-katsikisio-amariou-150gr/,
Amari Τυρί Γραβιέρα Καπνιστό 150 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/tyri-gravierino-kapnisto-amariou-150gr/,
Amari Τυρί Γραβιέρα Μπούκοβο 150 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/tyri-gravierino-boukovo-amariou-150gr/,
Amari Τυρί Γραβιέρα 4 Πιπέρια 150 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/tyri-gravierino-4-pipergia-amariou-150gr/,
Ψηλορείτης Γραβιέρα Τριμμένη 180 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/psiloreitis-graviera-trimmeni-180-gr/,
Δίκτη Κεφαλοτύρι,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/tyri-kefalotyri-dikti-syn-lasithi/,
Στειακάκης Κεφαλοτύρι Κρήτης,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/tyri-kefalotyri-kritis-steiakaki/,
Σταματογιώργης Κεφαλοτύρι Κρήτης,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/stamatogiorgis-kefalotyri-kritis/,
Στειακάκης Κεφαλοτύρι 350 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/steiakakis-kefalotyri-350-gr/,
Δίκτη Κεφαλοτύρι Τεμαχισμένο Συσκευασμένο 600/800 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/tyri-kefalotyri-dikti-en-las-tem/,
Στειακάκης Κεφαλοτύρι Τριμμένο 200 gr,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",B,https://kritis.gr/product/tyri-trim-kefalotyri-steiak-200g/,
Νταγιαντάς Τυρί Καπνιστό,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/ntagiantas-tyri-kapnisto/,
Καργάκης Ανθότυρος Κρήτης,Milk and dairy products,Cheese,,,,https://kritis.gr/product/kargakis-anthotyros-kritis/,Greek whey cheese
Μοχλάκη Μυζήθρα ξηρή,Milk and dairy products,Cheese,,,,https://kritis.gr/product/anthotyros-xiros-chanion-kef-tk-mochlakis/,Greek whey cheese
Σταματογιώργης Ανθότυρος Με Βότανα,Milk and dairy products,Cheese,,,,https://kritis.gr/product/stamatogiorgis-anthotyros-me-votana/,Greek whey cheese
Ψηλορείτης Ανθότυρος Τριμμένος 200 gr,Milk and dairy products,Cheese,,,,https://kritis.gr/product/psiloreitis-anthotyro-trimmeno-200-gr/,Greek whey cheese
Σταματογιώργης Μυζήθρα Γλυκιά,Milk and dairy products,Cheese,,,,https://kritis.gr/product/stamatogiorgis-myzithra-glykia/,Greek whey cheese
Amari Μυζήθρα Φρέσκια Γλυκιά 400 gr,Milk and dairy products,Cheese,,,,https://kritis.gr/product/amari-myzithra-freskia-400-gr/,Greek whey cheese
Καλογεράκη Μυζήθρα Με Υπόξινη Γεύση,Milk and dairy products,Cheese,,,,https://kritis.gr/product/myzithra-me-ypox-gefsi-doch-kalog/,Greek whey cheese
Δίκτη Τυρί Μαλακό Με Όξινη Γεύση,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/__trashed-7/,
Στειακάκης Μυζήθρα Ξινή 500 gr,Milk and dairy products,Cheese,,,,https://kritis.gr/product/myzithra-xini-steiakaki-500gr/,Greek whey cheese
Amari Γαλομυζήθρα 300 gr,Milk and dairy products,Cheese,,,,https://kritis.gr/product/galomyzithra-rethymnou-amari-300g/,Greek whey cheese
Amari Τυροζούλι Κατσικίσιο 16%,Milk and dairy products,Cheese,"Cheese, Capra","Cheese, from goat's milk, fresh",B,https://kritis.gr/product/amari-tyrozouli-katsikisio/,
Μπαλαντίνος Τυρομάλαμα,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/tyromalama-balantinou/,
Κωστάκης Τυρομάλαμα,Milk and dairy products,Cheese,"Cheese, Manchego","Semi-hard cheese, from ewe's milk",C,https://kritis.gr/product/tyromalama-kostaki-malaka/,
